id;name;date_start;game_type;stage_type;opponenta_id;opponentb_id;tournament_id
1;override invoice reboot;2021-08-11T07:19:06;TENNIS;ROUND_SIX;1;1;1
2;optical streamline;2021-08-12T05:35:42;TENNIS;THIRD_ROUND;2;2;2
3;user-facing;2021-08-12T00:20:06;BASKETBALL;ROUND_ROBIN;3;3;3
4;Pennsylvania Utah Sausages;2021-08-11T16:34:53;BASKETBALL;SWEET_SIXTEEN;4;4;4
5;Designer Niue even-keeled;2021-08-11T07:31:18;TENNIS;FINAL;5;5;5
6;Lock sensor;2021-08-11T15:01:59;BASKETBALL;FINAL;6;6;6
7;bypass Shoes Rapids;2021-08-11T14:28:05;BASKETBALL;FOURTH_ROUND;7;7;7
8;Borders Paradigm synergies;2021-08-11T21:32:24;SOCCER;EIGHTH_FINALS;8;8;8
9;Investor;2021-08-11T16:49:26;TENNIS;FINAL_FOUR;9;9;9
10;circuit Networked matrix;2021-08-12T03:25:59;BASKETBALL;EIGHTH_FINALS;10;10;10
