id;name;description;opponent_type;number_of_players
1;Metal Account project;transmit;SINGLE;2
2;Bedfordshire New;Cambridgeshire Uganda;TEAM;9
3;Loan Mouse;portal revolutionize;TEAM;10
4;Avon input Metal;Tasty;SINGLE;6
5;expedite Account 5th;Analyst function;TEAM;9
6;Planner Fresh;networks Programmable solutions;TEAM;3
7;synthesizing Response Ringgit;Manager withdrawal;SINGLE;5
8;pixel syndicate digital;up enhance Hawaii;TEAM;7
9;intermediate Soft Automotive;deposit;TEAM;6
10;dot-com;Designer Car;SINGLE;2
